_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
643bfce5b32f409c52901007||52.66|95.04|55.46|67.98|790,16,7,0|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681652965000
643bf908b32f409c5289e8c0||44|88.86|52|65.54|660,38,6,5|time|180|-1|0|180|0|0|false|false|english|none|normal|false|false|false||1681651976000
643bf74eb32f409c5283d260||65.87|95.75|65.87|70.78|988,0,0,0|time|180|-1|1|180|0|0.94|false|false|english|none|normal|false|false|false||1681651534000
643becfdb32f409c5271682e||51.93|92.53|51.93|64.29|779,0,0,0|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681648893000
643bde41b32f409c5258d8b7||79|95.32|79.6|63.71|1185,1,0,2|time|180|-1|0|180|0|0|false|false|english|none|normal|false|false|false||1681645121000
643bd848b32f409c524ca0d8||35.33|94.13|37.53|40.87|530,8,3,4|time|180|-1|0|180.01|17|0|false|false|english|none|normal|false|false|false||1681643592000
643b0108b32f409c52d7d4f6||65.53|90.26|70.86|69.21|983,26,10,0|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681588488000
643af44bb32f409c52c568fe||43.06|95.66|45|58.55|646,9,2,1|time|180|-1|0|180.01|2|0|false|false|english|none|normal|false|false|false||1681585227000
643af1c1b32f409c52bf4f57||67.93|93.35|68.27|61.82|1019,1,0,0|time|180|-1|0|180|0|0|false|false|english|none|normal|false|false|false||1681584577000
643aef4db32f409c52b93650||31.8|76.3|35.33|59.1|477,11,2,6|time|180|-1|0|180.01|1|0|false|false|english|none|normal|false|false|false||1681583949000
643ae7f5b32f409c52acf01f||57.66|95.37|60.6|67.5|865,10,9,1|time|180|-1|1|180.01|4|3.34|false|false|english|none|normal|false|false|false||1681582069000
643ae30ab32f409c52a6c3fd||43.93|96.64|43.93|60.27|659,0,0,0|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681580810000
643ad57db32f409c528e3948||80.8|92.66|82.6|68.04|1212,11,0,1|time|180|-1|0|180|0|0|false|false|english|none|normal|false|false|false||1681577341000
643ad368b32f409c528820ec||44.8|92.18|45.2|63.34|672,1,1,0|time|180|-1|0|180.01|1|0|false|false|english|none|normal|false|false|false||1681576808000
643ac5d0b32f409c526f9537||81.06|96.78|81.06|72.41|1216,0,0,0|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681573328000
643ac0eeb32f409c526963ab||31.53|96.42|33|54.99|473,5,1,2|time|180|-1|0|180.01|3|0|false|false|english|none|normal|false|false|false||1681572078000
643aba1ab32f409c525d1bd1||68.06|93.96|76.53|70.51|1021,35,3,5|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681570330000
643a9a59b32f409c5225df2b||38.67|92.26|43.8|64.79|580,20,4,3|time|180|-1|0|180|2|0|false|false|english|none|normal|false|false|false||1681562201000
643a991db32f409c5225d5fc||72.86|91.09|75.66|63.14|1093,12,2,3|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681561885000
643a9164b32f409c5213894f||79.4|92.79|85.13|70.72|1191,27,7,3|time|180|-1|1|180|0|3.64|false|false|english|none|normal|false|false|false||1681559908000
643a8b4db32f409c520d5984||48.06|93.14|48.73|61.52|721,0,1,0|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681558349000
643a874eb32f409c520737da|true|83.8|96.63|87.26|77.71|1257,7,3,3|time|180|-1|1|180.01|0|5|false|false|english|none|normal|false|false|false||1681557326000
6439af4bb32f409c528c5926||52.93|86.59|54.13|54.4|794,7,0,1|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681502027000
6439add4b32f409c528c4ad5||35.26|89.57|38.86|64.99|529,9,1,3|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681501652000
6439a596b32f409c5279e576||60.33|95.52|63.73|69.46|905,8,4,0|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681499542000
64399e5bb32f409c526d8807||70.73|91.63|76.13|63.94|1061,17,3,4|time|180|-1|0|180|1|0|false|false|english|none|normal|false|false|false||1681497691000
643998aeb32f409c52673f3d||31.13|95.98|34.86|55.95|467,9,2,0|time|180|-1|0|180.01|6|0|false|false|english|none|normal|false|false|false||1681496238000
6439945bb32f409c525afb6b|true|79.86|91.76|86.6|70.08|1198,34,12,1|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681495131000
64398f6eb32f409c5254b77e||46.93|94.41|46.93|63.85|704,0,0,0|time|180|-1|0|180.01|3|0|false|false|english|none|normal|false|false|false||1681493870000
64398514b32f409c52421e8d|true|48.53|88.32|49.06|63.01|728,2,0,0|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681491220000
