_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
643bff54b32f409c529023e8||55.13|96.49|57.86|70.42|827,11,2,0|time|180|-1|3|180.01|1|5.39|false|false|english|none|normal|false|false|false||1681653588000
643bf72fb32f409c5283d176||47.6|88.57|56|63.04|714,42,7,7|time|180|-1|0|180.01|2|0|false|false|english|none|normal|false|false|false||1681651503000
643bf578b32f409c5283c493||65.33|94.64|65.33|69.14|980,0,0,0|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681651064000
643bf04ab32f409c52778b57||55.86|94.63|56.2|70.22|838,0,0,1|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681649738000
643bdca5b32f409c5258ced9||76.53|91.8|76.8|60.79|1148,2,0,1|time|180|-1|0|180|0|0|false|false|english|none|normal|false|false|false||1681644709000
643bdaabb32f409c5252b8e5||33.93|94.08|35.4|45.41|509,4,2,2|time|180|-1|0|180|10|0|false|false|english|none|normal|false|false|false||1681644203000
643afd83b32f409c52d1b5f7||76.2|96|76.2|70.59|1143,0,0,0|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681587587000
643af1b7b32f409c52bf4f26||41.4|94.85|43.8|58.93|621,10,3,4|time|180|-1|0|180.01|3|0|false|false|english|none|normal|false|false|false||1681584567000
643af025b32f409c52b93bc9||72.27|93.81|72.27|64.06|1084,0,0,0|time|180|-1|0|180|0|0|false|false|english|none|normal|false|false|false||1681584165000
643aee3db32f409c52b92f12||36.06|86.03|40.2|65.02|541,15,3,0|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681583677000
643aea7fb32f409c52b30b30||51.33|91.91|56.26|69.6|770,29,10,3|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681582719000
643ae174b32f409c52a0afc4||45.73|97.59|45.73|62.73|686,0,0,0|time|180|-1|0|180|1|0|false|false|english|none|normal|false|false|false||1681580404000
643ad449b32f409c52882751||83.33|94.31|87.13|69.58|1250,23,5,1|time|180|-1|0|180.01|1|0|false|false|english|none|normal|false|false|false||1681577033000
643ad23eb32f409c52881857||45|92.89|45.26|64.22|675,3,0,1|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681576510000
643ac832b32f409c5275b18f||78.4|94.13|78.4|70|1176,0,0,0|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681573938000
643abf4fb32f409c52634e6b||32.87|99|32.87|60.23|493,0,0,0|time|180|-1|0|180|1|0|false|false|english|none|normal|false|false|false||1681571663000
643ab8a4b32f409c525d105c||64.8|93.72|74.46|71.55|972,30,2,8|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681569956000
643a9c77b32f409c522bf697||42.4|92.4|48.47|67.17|636,19,11,2|time|180|-1|0|180|1|0|false|false|english|none|normal|false|false|false||1681562743000
643a97bab32f409c521fc3cf|true|83.53|94.47|86|68.63|1253,7,1,5|time|180|-1|1|180|0|1.31|false|false|english|none|normal|false|false|false||1681561530000
643a9062b32f409c52138305||78.47|90.74|86.67|72.04|1177,42,10,3|time|180|-1|0|180|0|0|false|false|english|none|normal|false|false|false||1681559650000
643a8d6eb32f409c520d6743||49.13|92.42|49.66|61.33|737,3,1,2|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681558894000
643a859bb32f409c52012534||80.27|95.45|82.67|75.06|1204,16,2,1|time|180|-1|0|180|0|0|false|false|english|none|normal|false|false|false||1681556891000
6439b116b32f409c529271c6||49.4|83.23|51.33|54.28|741,4,2,3|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681502486000
6439acd6b32f409c528639f2||32.86|89.93|35.13|61.27|493,7,0,1|time|180|-1|0|180.01|1|0|false|false|english|none|normal|false|false|false||1681501398000
6439a433b32f409c5279d7ad||60.26|91.58|66.06|69.36|904,29,11,1|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681499187000
6439a0afb32f409c5273aa34||76.73|92.83|81.86|69.62|1151,22,6,0|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681498287000
64399799b32f409c52612adf||32.4|96.07|35.66|57.71|486,11,1,0|time|180|-1|0|180.02|3|0|false|false|english|none|normal|false|false|false||1681495961000
643992d2b32f409c525ae88c|true|81.79|92.6|83.59|68.53|1227,7,3,0|time|180|-1|0|180.02|0|0|false|false|english|none|normal|false|false|false||1681494738000
64398e29b32f409c5254a7df|true|43.86|92.37|43.86|60.42|658,0,0,0|time|180|-1|0|180.01|2|0|false|false|english|none|normal|false|false|false||1681493545000
64398759b32f409c52484283|true|42.46|82.88|42.93|58.32|637,0,0,1|time|180|-1|0|180.01|1|0|false|false|english|none|normal|false|false|false||1681491801000
