_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
643c00c9b32f409c5296398e||53.87|95.53|57.2|64.53|808,14,6,1|time|180||1|180|1|3.75|false|false|english|none|normal|false|false|false||1681653960106
643bf5a1b32f409c5283c5cb||46.53|87.88|56|70.71|698,44,12,3|time|180||0|180|0|0|false|false|english|none|normal|false|false|false||1681651105286
643bf43db32f409c527db1ac||69.06|97.56|69.06|73.45|1036,0,0,0|time|180||0|180.01|0|0|false|false|english|none|normal|false|false|false||1681650748630
643bebf8b32f409c52715fe8||50.6|93|51.13|64.25|759,1,0,1|time|180||0|180|0|0|false|false|english|none|normal|false|false|false||1681648631753
643bdf71b32f409c5258e0aa||78.93|93.34|78.93|65.14|1184,0,0,0|time|180||0|180.01|0|0|false|false|english|none|normal|false|false|false||1681645424883
643bdbaeb32f409c5252bf1e||35.93|95.93|36.73|50.88|539,6,1,1|time|180||0|180.01|11|0|false|false|english|none|normal|false|false|false||1681644461605
643afa18b32f409c52cb9650||64.47|91.02|64.93|59.69|967,1,0,6|time|180||0|180|0|0|false|false|english|none|normal|false|false|false||1681586711709
643af554b32f409c52c56fb0||42.6|93.47|44.8|61.87|639,8,0,2|time|180||0|180.01|0|0|false|false|english|none|normal|false|false|false||1681585492045
643af320b32f409c52bf589b||76.06|95.83|76.06|66.61|1141,0,0,0|time|180||0|180.01|0|0|false|false|english|none|normal|false|false|false||1681584927822
643aecddb32f409c52b31c4d||39.46|87.41|43.26|60.53|592,13,4,3|time|180||0|180.01|0|0|false|false|english|none|normal|false|false|false||1681583325283
643ae5f3b32f409c52a6d909||49.27|95.96|51.67|59.79|739,3,6,2|time|180||0|180|8|0|false|false|english|none|normal|false|false|false||1681581554338
643ae3ffb32f409c52a6cb45||44|96.21|44|61.42|660,0,0,0|time|180||0|180.01|1|0|false|false|english|none|normal|false|false|false||1681581054298
643ad6cdb32f409c528e4327|true|84.46|93.47|88.93|68.75|1267,23,4,0|time|180||0|180.01|0|0|false|false|english|none|normal|false|false|false||1681577677448
643ad165b32f409c52881226||45.06|94.07|45.4|67.17|676,0,1,0|time|180||0|180.01|1|0|false|false|english|none|normal|false|false|false||1681576292349
643ac476b32f409c526f89f4||75.27|93.7|75.47|67.47|1129,1,0,1|time|180||0|180|0|0|false|false|english|none|normal|false|false|false||1681572982230
643ac1e3b32f409c52696b88||33|98.05|34|59.09|495,3,1,1|time|180||0|180.01|3|0|false|false|english|none|normal|false|false|false||1681572323015
643abb7ab32f409c525d271b||66.8|93|76.13|70.99|1002,37,4,7|time|180||0|180.01|0|0|false|false|english|none|normal|false|false|false||1681570681039
643a9db1b32f409c522bfee3||40.93|90.3|46.26|64.66|614,26,5,4|time|180||0|180.02|1|0|false|false|english|none|normal|false|false|false||1681563056735
643a968cb32f409c521fbb17||76.4|93.74|79.86|60.4|1146,14,0,3|time|180||0|180.01|2|0|false|false|english|none|normal|false|false|false||1681561227889
643a8f6cb32f409c52137c70||77.2|91.92|84.73|71.03|1158,41,6,15|time|180||0|180.01|0|0|false|false|english|none|normal|false|false|false||1681559404313
643a8a53b32f409c52074a74||52.8|94.43|52.8|66.56|792,0,0,0|time|180||0|180|0|0|false|false|english|none|normal|false|false|false||1681558098963
643a88cbb32f409c5207414d||77.66|95.22|81.2|73.93|1165,12,5,5|time|180||0|180.01|0|0|false|false|english|none|normal|false|false|false||1681557706193
6439b20db32f409c52927af3||52|87.66|53.2|60.38|780,2,0,2|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681502733000
6439ababb32f409c52862ef3||31.33|88.67|34.2|58.93|470,9,0,2|time|180|-1|0|180|1|0|false|false|english|none|normal|false|false|false||1681501099000
6439a307b32f409c5279cb1b||62|93.49|66.86|71.96|930,25,6,4|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681498887000
64399c8cb32f409c526d7283||77.8|94.77|83.2|71.23|1167,18,5,4|time|180|-1|0|180|0|0|false|false|english|none|normal|false|false|false||1681497228000
6439999db32f409c52674a52||29.4|93.01|35.26|55.23|441,17,5,1|time|180|-1|0|180.01|5|0|false|false|english|none|normal|false|false|false||1681496477000
643990fbb32f409c5254ca27|true|80.53|92.26|83.73|65.94|1208,13,6,0|time|180|-1|0|180|0|0|false|false|english|none|normal|false|false|false||1681494267000
64398ba4b32f409c524e8162|true|49.87|96.92|49.87|69.19|748,0,0,0|time|180|-1|0|180|0|0|false|false|english|none|normal|false|false|false||1681492900000
643988a5b32f409c524853f9|true|48.6|86.43|49.13|64.52|729,2,1,0|time|180|-1|0|180.01|0|0|false|false|english|none|normal|false|false|false||1681492133000
